prompt,response
"Explain the concept of recursion in programming.","Recursion is a programming technique where a function calls itself to solve a problem. It breaks down a complex problem into smaller, similar subproblems. A recursive function needs: 1) a base case that stops the recursion, and 2) a recursive case that calls itself with a smaller problem. Example: calculating factorial (n! = n * (n-1)!)"
"What is object-oriented programming?","Object-oriented programming (OOP) is a paradigm based on objects containing data (attributes) and code (methods). Key concepts include: encapsulation (bundling data and methods), inheritance (creating new classes from existing ones), polymorphism (same interface different behavior), and abstraction (hiding complex implementation details)."
"What are Python decorators?","Python decorators are functions that modify the behavior of other functions. They use the @decorator syntax above a function definition. Decorators wrap a function to add functionality without modifying its code. Common uses include logging, timing, authentication, and caching. Example: @staticmethod, @classmethod, or custom decorators."
"What is the difference between list and tuple in Python?","Lists are mutable (can be modified) and use more memory. Tuples are immutable (cannot be changed after creation) and use less memory. Lists are created with [], tuples with (). Use lists when you need to modify data, use tuples for fixed data like coordinates or database records."
"What are Python generators?","Generators are functions that yield values one at a time using the yield keyword instead of return. They create iterators lazily, generating values on demand rather than storing them all in memory. This makes them memory-efficient for processing large datasets. Use next() to get values or iterate with for loops."
"What is git rebase?","Git rebase is a command that moves or combines a sequence of commits to a new base commit. It rewrites commit history by applying commits on top of another branch. Use it to create a linear, cleaner project history. Unlike merge, it doesn't create merge commits. Warning: never rebase public/shared branches."
"What is Docker?","Docker is a platform for containerization - packaging applications with their dependencies into portable containers. Containers are lightweight, isolated environments that run consistently across different systems. Docker simplifies deployment, scaling, and running applications by ensuring the same environment from development to production."
"What is SQL injection?","SQL injection is a security vulnerability where attackers insert malicious SQL code into application queries through user input. It occurs when user input is not properly sanitized and is directly concatenated into SQL queries. Prevention: use parameterized queries/prepared statements, input validation, least privilege database accounts, and escape special characters."
"What is the difference between HTTP and HTTPS?","HTTP (HyperText Transfer Protocol) sends data in plain text, making it vulnerable to interception. HTTPS adds TLS/SSL encryption, securing data in transit. HTTPS uses port 443 vs HTTP's port 80, requires SSL certificates, and provides authentication (verifying server identity). Modern browsers mark HTTP sites as 'Not Secure'."
"What is async/await in Python?","async/await syntax in Python enables asynchronous programming using the asyncio library. async defines a coroutine function, await pauses execution until the awaited coroutine completes. This allows non-blocking I/O operations like HTTP requests or file operations without threads. Use asyncio.gather() to run multiple coroutines concurrently."
